TIME_PERIOD,TO_COUNTRY,FROM_COUNTRY,AMOUNT
2025,Hong Kong,United States,55319617.1103464
2025,Southern America,United States,18819257.6203663
2025,Southern and Eastern Asia,United States,16085804.1242176
2025,Eastern Europe,United States,15378.2614166542
2025,South Korea,United States,396226768.835364
2025,United States,Nicaragua,103110258.49876
2025,United States,Canada,554611852.220299
2025,United States,New Zealand,397912268.754099
2025,United States,Southern and Eastern Asia,4362057.47890438
2025,United States,Paraguay,93742130.6411185
2025,United States,Uruguay,248572218.183354
2025,United States,Australia,719414691.050528
2025,United States,Central Asia,0
2025,United States,Sub-Saharan Africa,0
2025,United States,Guatemala,0
2025,Netherlands,United States,13725238.3038419
2025,Western and Central Europe,United States,18454265.5174351
2025,Central Asia,United States,45962.0209649538
2025,Japan,United States,384071634.333095
2025,Mexico,United States,179454426.787353
2025,United States,Mexico,367278548.010365
2025,United States,Costa Rica,19888476.9940231
2025,United States,Taiwan,0
2025,United States,Hong Kong,0
2025,Central America and Caribbean,United States,49989219.5488614
2025,Canada,United States,139894973.28949
2025,Pacific Islands,United States,1258470.33015477
2025,Philippines,United States,29032861.1469895
2025,Australia and New Zealand,United States,798940.842268016
2025,Guatemala,United States,17882780.8682212
2025,Dominican Republic,United States,17924662.5496382
2025,China,United States,146023228.247089
2025,United States,Argentina,72458435.5981416
2025,United States,Eastern Europe,23761.7754517225
2025,United States,Central America and Caribbean,377560.21269456
2025,Middle East – Western Asia,United States,21471593.5005076
2025,Sub-Saharan Africa,United States,757506.765998607
2025,Northern Africa,United States,1317330.85357409
2025,Taiwan,United States,98545630.5336939
2025,United States,Western and Central Europe,8967936.32537402
2025,United States,Southern America,281649.98446704
2025,United States,Brazil,810251125.575181
2025,United States,Middle East – Western Asia,0
2025,United States,Northern Africa,0
2025,United States,Pacific Islands,0
